kdcode,dt
AARTIIND.NS,2021-07-02
ADANIENT.NS,2021-07-02
APOLLOTYRE.NS,2021-07-02
ASHOKLEY.NS,2021-07-02
ASIANPAINT.NS,2021-07-02
AUROPHARMA.NS,2021-07-02
AXISBANK.NS,2021-07-02
BAJFINANCE.NS,2021-07-02
BATAINDIA.NS,2021-07-02
BDL.NS,2021-07-02
BEML.NS,2021-07-02
BHARATFORG.NS,2021-07-02
BHARTIARTL.NS,2021-07-02
BHEL.NS,2021-07-02
BIOCON.NS,2021-07-02
BPCL.NS,2021-07-02
BRITANNIA.NS,2021-07-02
BSOFT.NS,2021-07-02
CDSL.NS,2021-07-02
CESC.NS,2021-07-02
CIPLA.NS,2021-07-02
COALINDIA.NS,2021-07-02
COFORGE.NS,2021-07-02
CONCOR.NS,2021-07-02
CUMMINSIND.NS,2021-07-02
DIXON.NS,2021-07-02
DRREDDY.NS,2021-07-02
EICHERMOT.NS,2021-07-02
GODREJPROP.NS,2021-07-02
GOLDBEES.NS,2021-07-02
GRSE.NS,2021-07-02
HAVELLS.NS,2021-07-02
HCLTECH.NS,2021-07-02
HDFCAMC.NS,2021-07-02
HDFCBANK.NS,2021-07-02
HEROMOTOCO.NS,2021-07-02
HINDALCO.NS,2021-07-02
HINDUNILVR.NS,2021-07-02
ICICIBANK.NS,2021-07-02
IDFCFIRSTB.NS,2021-07-02
IEX.NS,2021-07-02
IIFL.NS,2021-07-02
INDIGO.NS,2021-07-02
INDUSTOWER.NS,2021-07-02
INFY.NS,2021-07-02
IRCON.NS,2021-07-02
ITC.NS,2021-07-02
JSWSTEEL.NS,2021-07-02
KOTAKBANK.NS,2021-07-02
LALPATHLAB.NS,2021-07-02
LAURUSLABS.NS,2021-07-02
LUPIN.NS,2021-07-02
M&M.NS,2021-07-02
MANAPPURAM.NS,2021-07-02
MARICO.NS,2021-07-02
MARUTI.NS,2021-07-02
MCX.NS,2021-07-02
MON100.NS,2021-07-02
MPHASIS.NS,2021-07-02
MRF.NS,2021-07-02
MUTHOOTFIN.NS,2021-07-02
NAVINFLUOR.NS,2021-07-02
NESTLEIND.NS,2021-07-02
NIFTYBEES.NS,2021-07-02
OBEROIRLTY.NS,2021-07-02
OIL.NS,2021-07-02
ONGC.NS,2021-07-02
PAGEIND.NS,2021-07-02
PERSISTENT.NS,2021-07-02
PIDILITIND.NS,2021-07-02
PIIND.NS,2021-07-02
POLYCAB.NS,2021-07-02
POONAWALLA.NS,2021-07-02
PRESTIGE.NS,2021-07-02
RAYMOND.NS,2021-07-02
RELIANCE.NS,2021-07-02
RITES.NS,2021-07-02
RVNL.NS,2021-07-02
SAIL.NS,2021-07-02
SBIN.NS,2021-07-02
SHREECEM.NS,2021-07-02
SIEMENS.NS,2021-07-02
SRF.NS,2021-07-02
SUNPHARMA.NS,2021-07-02
SUZLON.NS,2021-07-02
TATACHEM.NS,2021-07-02
TATACOMM.NS,2021-07-02
TATAELXSI.NS,2021-07-02
TATASTEEL.NS,2021-07-02
TCS.NS,2021-07-02
TECHM.NS,2021-07-02
TITAN.NS,2021-07-02
TRIDENT.NS,2021-07-02
TVSMOTOR.NS,2021-07-02
VOLTAS.NS,2021-07-02
WIPRO.NS,2021-07-02
ZENSARTECH.NS,2021-07-02
