kdcode,dt
AARTIIND.NS,2023-11-17
ADANIENT.NS,2023-11-17
APOLLOTYRE.NS,2023-11-17
ASHOKLEY.NS,2023-11-17
ASIANPAINT.NS,2023-11-17
AUROPHARMA.NS,2023-11-17
AXISBANK.NS,2023-11-17
BAJFINANCE.NS,2023-11-17
BATAINDIA.NS,2023-11-17
BDL.NS,2023-11-17
BEML.NS,2023-11-17
BHARATFORG.NS,2023-11-17
BHARTIARTL.NS,2023-11-17
BHEL.NS,2023-11-17
BIOCON.NS,2023-11-17
BPCL.NS,2023-11-17
BRITANNIA.NS,2023-11-17
BSOFT.NS,2023-11-17
CDSL.NS,2023-11-17
CESC.NS,2023-11-17
CIPLA.NS,2023-11-17
COALINDIA.NS,2023-11-17
COFORGE.NS,2023-11-17
CONCOR.NS,2023-11-17
CUMMINSIND.NS,2023-11-17
DIXON.NS,2023-11-17
DRREDDY.NS,2023-11-17
EICHERMOT.NS,2023-11-17
GODREJPROP.NS,2023-11-17
GOLDBEES.NS,2023-11-17
GRSE.NS,2023-11-17
HAVELLS.NS,2023-11-17
HCLTECH.NS,2023-11-17
HDFCAMC.NS,2023-11-17
HDFCBANK.NS,2023-11-17
HEROMOTOCO.NS,2023-11-17
HINDALCO.NS,2023-11-17
HINDUNILVR.NS,2023-11-17
ICICIBANK.NS,2023-11-17
IDFCFIRSTB.NS,2023-11-17
IEX.NS,2023-11-17
IIFL.NS,2023-11-17
INDIGO.NS,2023-11-17
INDUSTOWER.NS,2023-11-17
INFY.NS,2023-11-17
IRCON.NS,2023-11-17
ITC.NS,2023-11-17
JSWSTEEL.NS,2023-11-17
KOTAKBANK.NS,2023-11-17
LALPATHLAB.NS,2023-11-17
LAURUSLABS.NS,2023-11-17
LUPIN.NS,2023-11-17
M&M.NS,2023-11-17
MANAPPURAM.NS,2023-11-17
MARICO.NS,2023-11-17
MARUTI.NS,2023-11-17
MCX.NS,2023-11-17
MON100.NS,2023-11-17
MPHASIS.NS,2023-11-17
MRF.NS,2023-11-17
MUTHOOTFIN.NS,2023-11-17
NAVINFLUOR.NS,2023-11-17
NESTLEIND.NS,2023-11-17
NIFTYBEES.NS,2023-11-17
OBEROIRLTY.NS,2023-11-17
OIL.NS,2023-11-17
ONGC.NS,2023-11-17
PAGEIND.NS,2023-11-17
PERSISTENT.NS,2023-11-17
PIDILITIND.NS,2023-11-17
PIIND.NS,2023-11-17
POLYCAB.NS,2023-11-17
POONAWALLA.NS,2023-11-17
PRESTIGE.NS,2023-11-17
RAYMOND.NS,2023-11-17
RELIANCE.NS,2023-11-17
RITES.NS,2023-11-17
RVNL.NS,2023-11-17
SAIL.NS,2023-11-17
SBIN.NS,2023-11-17
SHREECEM.NS,2023-11-17
SIEMENS.NS,2023-11-17
SRF.NS,2023-11-17
SUNPHARMA.NS,2023-11-17
SUZLON.NS,2023-11-17
TATACHEM.NS,2023-11-17
TATACOMM.NS,2023-11-17
TATAELXSI.NS,2023-11-17
TATASTEEL.NS,2023-11-17
TCS.NS,2023-11-17
TECHM.NS,2023-11-17
TITAN.NS,2023-11-17
TRIDENT.NS,2023-11-17
TVSMOTOR.NS,2023-11-17
VOLTAS.NS,2023-11-17
WIPRO.NS,2023-11-17
ZENSARTECH.NS,2023-11-17
