kdcode,dt
AARTIIND.NS,2023-05-16
ADANIENT.NS,2023-05-16
APOLLOTYRE.NS,2023-05-16
ASHOKLEY.NS,2023-05-16
ASIANPAINT.NS,2023-05-16
AUROPHARMA.NS,2023-05-16
AXISBANK.NS,2023-05-16
BAJFINANCE.NS,2023-05-16
BATAINDIA.NS,2023-05-16
BDL.NS,2023-05-16
BEML.NS,2023-05-16
BHARATFORG.NS,2023-05-16
BHARTIARTL.NS,2023-05-16
BHEL.NS,2023-05-16
BIOCON.NS,2023-05-16
BPCL.NS,2023-05-16
BRITANNIA.NS,2023-05-16
BSOFT.NS,2023-05-16
CDSL.NS,2023-05-16
CESC.NS,2023-05-16
CIPLA.NS,2023-05-16
COALINDIA.NS,2023-05-16
COFORGE.NS,2023-05-16
CONCOR.NS,2023-05-16
CUMMINSIND.NS,2023-05-16
DIXON.NS,2023-05-16
DRREDDY.NS,2023-05-16
EICHERMOT.NS,2023-05-16
GODREJPROP.NS,2023-05-16
GOLDBEES.NS,2023-05-16
GRSE.NS,2023-05-16
HAVELLS.NS,2023-05-16
HCLTECH.NS,2023-05-16
HDFCAMC.NS,2023-05-16
HDFCBANK.NS,2023-05-16
HEROMOTOCO.NS,2023-05-16
HINDALCO.NS,2023-05-16
HINDUNILVR.NS,2023-05-16
ICICIBANK.NS,2023-05-16
IDFCFIRSTB.NS,2023-05-16
IEX.NS,2023-05-16
IIFL.NS,2023-05-16
INDIGO.NS,2023-05-16
INDUSTOWER.NS,2023-05-16
INFY.NS,2023-05-16
IRCON.NS,2023-05-16
ITC.NS,2023-05-16
JSWSTEEL.NS,2023-05-16
KOTAKBANK.NS,2023-05-16
LALPATHLAB.NS,2023-05-16
LAURUSLABS.NS,2023-05-16
LUPIN.NS,2023-05-16
M&M.NS,2023-05-16
MANAPPURAM.NS,2023-05-16
MARICO.NS,2023-05-16
MARUTI.NS,2023-05-16
MCX.NS,2023-05-16
MON100.NS,2023-05-16
MPHASIS.NS,2023-05-16
MRF.NS,2023-05-16
MUTHOOTFIN.NS,2023-05-16
NAVINFLUOR.NS,2023-05-16
NESTLEIND.NS,2023-05-16
NIFTYBEES.NS,2023-05-16
OBEROIRLTY.NS,2023-05-16
OIL.NS,2023-05-16
ONGC.NS,2023-05-16
PAGEIND.NS,2023-05-16
PERSISTENT.NS,2023-05-16
PIDILITIND.NS,2023-05-16
PIIND.NS,2023-05-16
POLYCAB.NS,2023-05-16
POONAWALLA.NS,2023-05-16
PRESTIGE.NS,2023-05-16
RAYMOND.NS,2023-05-16
RELIANCE.NS,2023-05-16
RITES.NS,2023-05-16
RVNL.NS,2023-05-16
SAIL.NS,2023-05-16
SBIN.NS,2023-05-16
SHREECEM.NS,2023-05-16
SIEMENS.NS,2023-05-16
SRF.NS,2023-05-16
SUNPHARMA.NS,2023-05-16
SUZLON.NS,2023-05-16
TATACHEM.NS,2023-05-16
TATACOMM.NS,2023-05-16
TATAELXSI.NS,2023-05-16
TATASTEEL.NS,2023-05-16
TCS.NS,2023-05-16
TECHM.NS,2023-05-16
TITAN.NS,2023-05-16
TRIDENT.NS,2023-05-16
TVSMOTOR.NS,2023-05-16
VOLTAS.NS,2023-05-16
WIPRO.NS,2023-05-16
ZENSARTECH.NS,2023-05-16
