kdcode,dt
AARTIIND.NS,2022-02-01
ADANIENT.NS,2022-02-01
APOLLOTYRE.NS,2022-02-01
ASHOKLEY.NS,2022-02-01
ASIANPAINT.NS,2022-02-01
AUROPHARMA.NS,2022-02-01
AXISBANK.NS,2022-02-01
BAJFINANCE.NS,2022-02-01
BATAINDIA.NS,2022-02-01
BDL.NS,2022-02-01
BEML.NS,2022-02-01
BHARATFORG.NS,2022-02-01
BHARTIARTL.NS,2022-02-01
BHEL.NS,2022-02-01
BIOCON.NS,2022-02-01
BPCL.NS,2022-02-01
BRITANNIA.NS,2022-02-01
BSOFT.NS,2022-02-01
CDSL.NS,2022-02-01
CESC.NS,2022-02-01
CIPLA.NS,2022-02-01
COALINDIA.NS,2022-02-01
COFORGE.NS,2022-02-01
CONCOR.NS,2022-02-01
CUMMINSIND.NS,2022-02-01
DIXON.NS,2022-02-01
DRREDDY.NS,2022-02-01
EICHERMOT.NS,2022-02-01
GODREJPROP.NS,2022-02-01
GOLDBEES.NS,2022-02-01
GRSE.NS,2022-02-01
HAVELLS.NS,2022-02-01
HCLTECH.NS,2022-02-01
HDFCAMC.NS,2022-02-01
HDFCBANK.NS,2022-02-01
HEROMOTOCO.NS,2022-02-01
HINDALCO.NS,2022-02-01
HINDUNILVR.NS,2022-02-01
ICICIBANK.NS,2022-02-01
IDFCFIRSTB.NS,2022-02-01
IEX.NS,2022-02-01
IIFL.NS,2022-02-01
INDIGO.NS,2022-02-01
INDUSTOWER.NS,2022-02-01
INFY.NS,2022-02-01
IRCON.NS,2022-02-01
ITC.NS,2022-02-01
JSWSTEEL.NS,2022-02-01
KOTAKBANK.NS,2022-02-01
LALPATHLAB.NS,2022-02-01
LAURUSLABS.NS,2022-02-01
LUPIN.NS,2022-02-01
M&M.NS,2022-02-01
MANAPPURAM.NS,2022-02-01
MARICO.NS,2022-02-01
MARUTI.NS,2022-02-01
MCX.NS,2022-02-01
MON100.NS,2022-02-01
MPHASIS.NS,2022-02-01
MRF.NS,2022-02-01
MUTHOOTFIN.NS,2022-02-01
NAVINFLUOR.NS,2022-02-01
NESTLEIND.NS,2022-02-01
NIFTYBEES.NS,2022-02-01
OBEROIRLTY.NS,2022-02-01
OIL.NS,2022-02-01
ONGC.NS,2022-02-01
PAGEIND.NS,2022-02-01
PERSISTENT.NS,2022-02-01
PIDILITIND.NS,2022-02-01
PIIND.NS,2022-02-01
POLYCAB.NS,2022-02-01
POONAWALLA.NS,2022-02-01
PRESTIGE.NS,2022-02-01
RAYMOND.NS,2022-02-01
RELIANCE.NS,2022-02-01
RITES.NS,2022-02-01
RVNL.NS,2022-02-01
SAIL.NS,2022-02-01
SBIN.NS,2022-02-01
SHREECEM.NS,2022-02-01
SIEMENS.NS,2022-02-01
SRF.NS,2022-02-01
SUNPHARMA.NS,2022-02-01
SUZLON.NS,2022-02-01
TATACHEM.NS,2022-02-01
TATACOMM.NS,2022-02-01
TATAELXSI.NS,2022-02-01
TATASTEEL.NS,2022-02-01
TCS.NS,2022-02-01
TECHM.NS,2022-02-01
TITAN.NS,2022-02-01
TRIDENT.NS,2022-02-01
TVSMOTOR.NS,2022-02-01
VOLTAS.NS,2022-02-01
WIPRO.NS,2022-02-01
ZENSARTECH.NS,2022-02-01
