kdcode,dt
AARTIIND.NS,2024-09-10
ADANIENT.NS,2024-09-10
APOLLOTYRE.NS,2024-09-10
ASHOKLEY.NS,2024-09-10
ASIANPAINT.NS,2024-09-10
AUROPHARMA.NS,2024-09-10
AXISBANK.NS,2024-09-10
BAJFINANCE.NS,2024-09-10
BATAINDIA.NS,2024-09-10
BDL.NS,2024-09-10
BEML.NS,2024-09-10
BHARATFORG.NS,2024-09-10
BHARTIARTL.NS,2024-09-10
BHEL.NS,2024-09-10
BIOCON.NS,2024-09-10
BPCL.NS,2024-09-10
BRITANNIA.NS,2024-09-10
BSOFT.NS,2024-09-10
CDSL.NS,2024-09-10
CESC.NS,2024-09-10
CIPLA.NS,2024-09-10
COALINDIA.NS,2024-09-10
COFORGE.NS,2024-09-10
CONCOR.NS,2024-09-10
CUMMINSIND.NS,2024-09-10
DIXON.NS,2024-09-10
DRREDDY.NS,2024-09-10
EICHERMOT.NS,2024-09-10
GODREJPROP.NS,2024-09-10
GOLDBEES.NS,2024-09-10
GRSE.NS,2024-09-10
HAVELLS.NS,2024-09-10
HCLTECH.NS,2024-09-10
HDFCAMC.NS,2024-09-10
HDFCBANK.NS,2024-09-10
HEROMOTOCO.NS,2024-09-10
HINDALCO.NS,2024-09-10
HINDUNILVR.NS,2024-09-10
ICICIBANK.NS,2024-09-10
IDFCFIRSTB.NS,2024-09-10
IEX.NS,2024-09-10
IIFL.NS,2024-09-10
INDIGO.NS,2024-09-10
INDUSTOWER.NS,2024-09-10
INFY.NS,2024-09-10
IRCON.NS,2024-09-10
ITC.NS,2024-09-10
JSWSTEEL.NS,2024-09-10
KOTAKBANK.NS,2024-09-10
LALPATHLAB.NS,2024-09-10
LAURUSLABS.NS,2024-09-10
LUPIN.NS,2024-09-10
M&M.NS,2024-09-10
MANAPPURAM.NS,2024-09-10
MARICO.NS,2024-09-10
MARUTI.NS,2024-09-10
MCX.NS,2024-09-10
MON100.NS,2024-09-10
MPHASIS.NS,2024-09-10
MRF.NS,2024-09-10
MUTHOOTFIN.NS,2024-09-10
NAVINFLUOR.NS,2024-09-10
NESTLEIND.NS,2024-09-10
NIFTYBEES.NS,2024-09-10
OBEROIRLTY.NS,2024-09-10
OIL.NS,2024-09-10
ONGC.NS,2024-09-10
PAGEIND.NS,2024-09-10
PERSISTENT.NS,2024-09-10
PIDILITIND.NS,2024-09-10
PIIND.NS,2024-09-10
POLYCAB.NS,2024-09-10
POONAWALLA.NS,2024-09-10
PRESTIGE.NS,2024-09-10
RAYMOND.NS,2024-09-10
RELIANCE.NS,2024-09-10
RITES.NS,2024-09-10
RVNL.NS,2024-09-10
SAIL.NS,2024-09-10
SBIN.NS,2024-09-10
SHREECEM.NS,2024-09-10
SIEMENS.NS,2024-09-10
SRF.NS,2024-09-10
SUNPHARMA.NS,2024-09-10
SUZLON.NS,2024-09-10
TATACHEM.NS,2024-09-10
TATACOMM.NS,2024-09-10
TATAELXSI.NS,2024-09-10
TATASTEEL.NS,2024-09-10
TCS.NS,2024-09-10
TECHM.NS,2024-09-10
TITAN.NS,2024-09-10
TRIDENT.NS,2024-09-10
TVSMOTOR.NS,2024-09-10
VOLTAS.NS,2024-09-10
WIPRO.NS,2024-09-10
ZENSARTECH.NS,2024-09-10
