kdcode,dt
AARTIIND.NS,2020-05-18
ADANIENT.NS,2020-05-18
APOLLOTYRE.NS,2020-05-18
ASHOKLEY.NS,2020-05-18
ASIANPAINT.NS,2020-05-18
AUROPHARMA.NS,2020-05-18
AXISBANK.NS,2020-05-18
BAJFINANCE.NS,2020-05-18
BATAINDIA.NS,2020-05-18
BDL.NS,2020-05-18
BEML.NS,2020-05-18
BHARATFORG.NS,2020-05-18
BHARTIARTL.NS,2020-05-18
BHEL.NS,2020-05-18
BIOCON.NS,2020-05-18
BPCL.NS,2020-05-18
BRITANNIA.NS,2020-05-18
BSOFT.NS,2020-05-18
CDSL.NS,2020-05-18
CESC.NS,2020-05-18
CIPLA.NS,2020-05-18
COALINDIA.NS,2020-05-18
COFORGE.NS,2020-05-18
CONCOR.NS,2020-05-18
CUMMINSIND.NS,2020-05-18
DIXON.NS,2020-05-18
DRREDDY.NS,2020-05-18
EICHERMOT.NS,2020-05-18
GODREJPROP.NS,2020-05-18
GOLDBEES.NS,2020-05-18
GRSE.NS,2020-05-18
HAVELLS.NS,2020-05-18
HCLTECH.NS,2020-05-18
HDFCAMC.NS,2020-05-18
HDFCBANK.NS,2020-05-18
HEROMOTOCO.NS,2020-05-18
HINDALCO.NS,2020-05-18
HINDUNILVR.NS,2020-05-18
ICICIBANK.NS,2020-05-18
IDFCFIRSTB.NS,2020-05-18
IEX.NS,2020-05-18
IIFL.NS,2020-05-18
INDIGO.NS,2020-05-18
INDUSTOWER.NS,2020-05-18
INFY.NS,2020-05-18
IRCON.NS,2020-05-18
ITC.NS,2020-05-18
JSWSTEEL.NS,2020-05-18
KOTAKBANK.NS,2020-05-18
LALPATHLAB.NS,2020-05-18
LAURUSLABS.NS,2020-05-18
LUPIN.NS,2020-05-18
M&M.NS,2020-05-18
MANAPPURAM.NS,2020-05-18
MARICO.NS,2020-05-18
MARUTI.NS,2020-05-18
MCX.NS,2020-05-18
MON100.NS,2020-05-18
MPHASIS.NS,2020-05-18
MRF.NS,2020-05-18
MUTHOOTFIN.NS,2020-05-18
NAVINFLUOR.NS,2020-05-18
NESTLEIND.NS,2020-05-18
NIFTYBEES.NS,2020-05-18
OBEROIRLTY.NS,2020-05-18
OIL.NS,2020-05-18
ONGC.NS,2020-05-18
PAGEIND.NS,2020-05-18
PERSISTENT.NS,2020-05-18
PIDILITIND.NS,2020-05-18
PIIND.NS,2020-05-18
POLYCAB.NS,2020-05-18
POONAWALLA.NS,2020-05-18
PRESTIGE.NS,2020-05-18
RAYMOND.NS,2020-05-18
RELIANCE.NS,2020-05-18
RITES.NS,2020-05-18
RVNL.NS,2020-05-18
SAIL.NS,2020-05-18
SBIN.NS,2020-05-18
SHREECEM.NS,2020-05-18
SIEMENS.NS,2020-05-18
SRF.NS,2020-05-18
SUNPHARMA.NS,2020-05-18
SUZLON.NS,2020-05-18
TATACHEM.NS,2020-05-18
TATACOMM.NS,2020-05-18
TATAELXSI.NS,2020-05-18
TATASTEEL.NS,2020-05-18
TCS.NS,2020-05-18
TECHM.NS,2020-05-18
TITAN.NS,2020-05-18
TRIDENT.NS,2020-05-18
TVSMOTOR.NS,2020-05-18
VOLTAS.NS,2020-05-18
WIPRO.NS,2020-05-18
ZENSARTECH.NS,2020-05-18
