kdcode,dt
AARTIIND.NS,2024-01-10
ADANIENT.NS,2024-01-10
APOLLOTYRE.NS,2024-01-10
ASHOKLEY.NS,2024-01-10
ASIANPAINT.NS,2024-01-10
AUROPHARMA.NS,2024-01-10
AXISBANK.NS,2024-01-10
BAJFINANCE.NS,2024-01-10
BATAINDIA.NS,2024-01-10
BDL.NS,2024-01-10
BEML.NS,2024-01-10
BHARATFORG.NS,2024-01-10
BHARTIARTL.NS,2024-01-10
BHEL.NS,2024-01-10
BIOCON.NS,2024-01-10
BPCL.NS,2024-01-10
BRITANNIA.NS,2024-01-10
BSOFT.NS,2024-01-10
CDSL.NS,2024-01-10
CESC.NS,2024-01-10
CIPLA.NS,2024-01-10
COALINDIA.NS,2024-01-10
COFORGE.NS,2024-01-10
CONCOR.NS,2024-01-10
CUMMINSIND.NS,2024-01-10
DIXON.NS,2024-01-10
DRREDDY.NS,2024-01-10
EICHERMOT.NS,2024-01-10
GODREJPROP.NS,2024-01-10
GOLDBEES.NS,2024-01-10
GRSE.NS,2024-01-10
HAVELLS.NS,2024-01-10
HCLTECH.NS,2024-01-10
HDFCAMC.NS,2024-01-10
HDFCBANK.NS,2024-01-10
HEROMOTOCO.NS,2024-01-10
HINDALCO.NS,2024-01-10
HINDUNILVR.NS,2024-01-10
ICICIBANK.NS,2024-01-10
IDFCFIRSTB.NS,2024-01-10
IEX.NS,2024-01-10
IIFL.NS,2024-01-10
INDIGO.NS,2024-01-10
INDUSTOWER.NS,2024-01-10
INFY.NS,2024-01-10
IRCON.NS,2024-01-10
ITC.NS,2024-01-10
JSWSTEEL.NS,2024-01-10
KOTAKBANK.NS,2024-01-10
LALPATHLAB.NS,2024-01-10
LAURUSLABS.NS,2024-01-10
LUPIN.NS,2024-01-10
M&M.NS,2024-01-10
MANAPPURAM.NS,2024-01-10
MARICO.NS,2024-01-10
MARUTI.NS,2024-01-10
MCX.NS,2024-01-10
MON100.NS,2024-01-10
MPHASIS.NS,2024-01-10
MRF.NS,2024-01-10
MUTHOOTFIN.NS,2024-01-10
NAVINFLUOR.NS,2024-01-10
NESTLEIND.NS,2024-01-10
NIFTYBEES.NS,2024-01-10
OBEROIRLTY.NS,2024-01-10
OIL.NS,2024-01-10
ONGC.NS,2024-01-10
PAGEIND.NS,2024-01-10
PERSISTENT.NS,2024-01-10
PIDILITIND.NS,2024-01-10
PIIND.NS,2024-01-10
POLYCAB.NS,2024-01-10
POONAWALLA.NS,2024-01-10
PRESTIGE.NS,2024-01-10
RAYMOND.NS,2024-01-10
RELIANCE.NS,2024-01-10
RITES.NS,2024-01-10
RVNL.NS,2024-01-10
SAIL.NS,2024-01-10
SBIN.NS,2024-01-10
SHREECEM.NS,2024-01-10
SIEMENS.NS,2024-01-10
SRF.NS,2024-01-10
SUNPHARMA.NS,2024-01-10
SUZLON.NS,2024-01-10
TATACHEM.NS,2024-01-10
TATACOMM.NS,2024-01-10
TATAELXSI.NS,2024-01-10
TATASTEEL.NS,2024-01-10
TCS.NS,2024-01-10
TECHM.NS,2024-01-10
TITAN.NS,2024-01-10
TRIDENT.NS,2024-01-10
TVSMOTOR.NS,2024-01-10
VOLTAS.NS,2024-01-10
WIPRO.NS,2024-01-10
ZENSARTECH.NS,2024-01-10
