kdcode,dt
AARTIIND.NS,2024-01-17
ADANIENT.NS,2024-01-17
APOLLOTYRE.NS,2024-01-17
ASHOKLEY.NS,2024-01-17
ASIANPAINT.NS,2024-01-17
AUROPHARMA.NS,2024-01-17
AXISBANK.NS,2024-01-17
BAJFINANCE.NS,2024-01-17
BATAINDIA.NS,2024-01-17
BDL.NS,2024-01-17
BEML.NS,2024-01-17
BHARATFORG.NS,2024-01-17
BHARTIARTL.NS,2024-01-17
BHEL.NS,2024-01-17
BIOCON.NS,2024-01-17
BPCL.NS,2024-01-17
BRITANNIA.NS,2024-01-17
BSOFT.NS,2024-01-17
CDSL.NS,2024-01-17
CESC.NS,2024-01-17
CIPLA.NS,2024-01-17
COALINDIA.NS,2024-01-17
COFORGE.NS,2024-01-17
CONCOR.NS,2024-01-17
CUMMINSIND.NS,2024-01-17
DIXON.NS,2024-01-17
DRREDDY.NS,2024-01-17
EICHERMOT.NS,2024-01-17
GODREJPROP.NS,2024-01-17
GOLDBEES.NS,2024-01-17
GRSE.NS,2024-01-17
HAVELLS.NS,2024-01-17
HCLTECH.NS,2024-01-17
HDFCAMC.NS,2024-01-17
HDFCBANK.NS,2024-01-17
HEROMOTOCO.NS,2024-01-17
HINDALCO.NS,2024-01-17
HINDUNILVR.NS,2024-01-17
ICICIBANK.NS,2024-01-17
IDFCFIRSTB.NS,2024-01-17
IEX.NS,2024-01-17
IIFL.NS,2024-01-17
INDIGO.NS,2024-01-17
INDUSTOWER.NS,2024-01-17
INFY.NS,2024-01-17
IRCON.NS,2024-01-17
ITC.NS,2024-01-17
JSWSTEEL.NS,2024-01-17
KOTAKBANK.NS,2024-01-17
LALPATHLAB.NS,2024-01-17
LAURUSLABS.NS,2024-01-17
LUPIN.NS,2024-01-17
M&M.NS,2024-01-17
MANAPPURAM.NS,2024-01-17
MARICO.NS,2024-01-17
MARUTI.NS,2024-01-17
MCX.NS,2024-01-17
MON100.NS,2024-01-17
MPHASIS.NS,2024-01-17
MRF.NS,2024-01-17
MUTHOOTFIN.NS,2024-01-17
NAVINFLUOR.NS,2024-01-17
NESTLEIND.NS,2024-01-17
NIFTYBEES.NS,2024-01-17
OBEROIRLTY.NS,2024-01-17
OIL.NS,2024-01-17
ONGC.NS,2024-01-17
PAGEIND.NS,2024-01-17
PERSISTENT.NS,2024-01-17
PIDILITIND.NS,2024-01-17
PIIND.NS,2024-01-17
POLYCAB.NS,2024-01-17
POONAWALLA.NS,2024-01-17
PRESTIGE.NS,2024-01-17
RAYMOND.NS,2024-01-17
RELIANCE.NS,2024-01-17
RITES.NS,2024-01-17
RVNL.NS,2024-01-17
SAIL.NS,2024-01-17
SBIN.NS,2024-01-17
SHREECEM.NS,2024-01-17
SIEMENS.NS,2024-01-17
SRF.NS,2024-01-17
SUNPHARMA.NS,2024-01-17
SUZLON.NS,2024-01-17
TATACHEM.NS,2024-01-17
TATACOMM.NS,2024-01-17
TATAELXSI.NS,2024-01-17
TATASTEEL.NS,2024-01-17
TCS.NS,2024-01-17
TECHM.NS,2024-01-17
TITAN.NS,2024-01-17
TRIDENT.NS,2024-01-17
TVSMOTOR.NS,2024-01-17
VOLTAS.NS,2024-01-17
WIPRO.NS,2024-01-17
ZENSARTECH.NS,2024-01-17
