kdcode,dt
AARTIIND.NS,2022-02-08
ADANIENT.NS,2022-02-08
APOLLOTYRE.NS,2022-02-08
ASHOKLEY.NS,2022-02-08
ASIANPAINT.NS,2022-02-08
AUROPHARMA.NS,2022-02-08
AXISBANK.NS,2022-02-08
BAJFINANCE.NS,2022-02-08
BATAINDIA.NS,2022-02-08
BDL.NS,2022-02-08
BEML.NS,2022-02-08
BHARATFORG.NS,2022-02-08
BHARTIARTL.NS,2022-02-08
BHEL.NS,2022-02-08
BIOCON.NS,2022-02-08
BPCL.NS,2022-02-08
BRITANNIA.NS,2022-02-08
BSOFT.NS,2022-02-08
CDSL.NS,2022-02-08
CESC.NS,2022-02-08
CIPLA.NS,2022-02-08
COALINDIA.NS,2022-02-08
COFORGE.NS,2022-02-08
CONCOR.NS,2022-02-08
CUMMINSIND.NS,2022-02-08
DIXON.NS,2022-02-08
DRREDDY.NS,2022-02-08
EICHERMOT.NS,2022-02-08
GODREJPROP.NS,2022-02-08
GOLDBEES.NS,2022-02-08
GRSE.NS,2022-02-08
HAVELLS.NS,2022-02-08
HCLTECH.NS,2022-02-08
HDFCAMC.NS,2022-02-08
HDFCBANK.NS,2022-02-08
HEROMOTOCO.NS,2022-02-08
HINDALCO.NS,2022-02-08
HINDUNILVR.NS,2022-02-08
ICICIBANK.NS,2022-02-08
IDFCFIRSTB.NS,2022-02-08
IEX.NS,2022-02-08
IIFL.NS,2022-02-08
INDIGO.NS,2022-02-08
INDUSTOWER.NS,2022-02-08
INFY.NS,2022-02-08
IRCON.NS,2022-02-08
ITC.NS,2022-02-08
JSWSTEEL.NS,2022-02-08
KOTAKBANK.NS,2022-02-08
LALPATHLAB.NS,2022-02-08
LAURUSLABS.NS,2022-02-08
LUPIN.NS,2022-02-08
M&M.NS,2022-02-08
MANAPPURAM.NS,2022-02-08
MARICO.NS,2022-02-08
MARUTI.NS,2022-02-08
MCX.NS,2022-02-08
MON100.NS,2022-02-08
MPHASIS.NS,2022-02-08
MRF.NS,2022-02-08
MUTHOOTFIN.NS,2022-02-08
NAVINFLUOR.NS,2022-02-08
NESTLEIND.NS,2022-02-08
NIFTYBEES.NS,2022-02-08
OBEROIRLTY.NS,2022-02-08
OIL.NS,2022-02-08
ONGC.NS,2022-02-08
PAGEIND.NS,2022-02-08
PERSISTENT.NS,2022-02-08
PIDILITIND.NS,2022-02-08
PIIND.NS,2022-02-08
POLYCAB.NS,2022-02-08
POONAWALLA.NS,2022-02-08
PRESTIGE.NS,2022-02-08
RAYMOND.NS,2022-02-08
RELIANCE.NS,2022-02-08
RITES.NS,2022-02-08
RVNL.NS,2022-02-08
SAIL.NS,2022-02-08
SBIN.NS,2022-02-08
SHREECEM.NS,2022-02-08
SIEMENS.NS,2022-02-08
SRF.NS,2022-02-08
SUNPHARMA.NS,2022-02-08
SUZLON.NS,2022-02-08
TATACHEM.NS,2022-02-08
TATACOMM.NS,2022-02-08
TATAELXSI.NS,2022-02-08
TATASTEEL.NS,2022-02-08
TCS.NS,2022-02-08
TECHM.NS,2022-02-08
TITAN.NS,2022-02-08
TRIDENT.NS,2022-02-08
TVSMOTOR.NS,2022-02-08
VOLTAS.NS,2022-02-08
WIPRO.NS,2022-02-08
ZENSARTECH.NS,2022-02-08
