kdcode,dt
AARTIIND.NS,2023-10-27
ADANIENT.NS,2023-10-27
APOLLOTYRE.NS,2023-10-27
ASHOKLEY.NS,2023-10-27
ASIANPAINT.NS,2023-10-27
AUROPHARMA.NS,2023-10-27
AXISBANK.NS,2023-10-27
BAJFINANCE.NS,2023-10-27
BATAINDIA.NS,2023-10-27
BDL.NS,2023-10-27
BEML.NS,2023-10-27
BHARATFORG.NS,2023-10-27
BHARTIARTL.NS,2023-10-27
BHEL.NS,2023-10-27
BIOCON.NS,2023-10-27
BPCL.NS,2023-10-27
BRITANNIA.NS,2023-10-27
BSOFT.NS,2023-10-27
CDSL.NS,2023-10-27
CESC.NS,2023-10-27
CIPLA.NS,2023-10-27
COALINDIA.NS,2023-10-27
COFORGE.NS,2023-10-27
CONCOR.NS,2023-10-27
CUMMINSIND.NS,2023-10-27
DIXON.NS,2023-10-27
DRREDDY.NS,2023-10-27
EICHERMOT.NS,2023-10-27
GODREJPROP.NS,2023-10-27
GOLDBEES.NS,2023-10-27
GRSE.NS,2023-10-27
HAVELLS.NS,2023-10-27
HCLTECH.NS,2023-10-27
HDFCAMC.NS,2023-10-27
HDFCBANK.NS,2023-10-27
HEROMOTOCO.NS,2023-10-27
HINDALCO.NS,2023-10-27
HINDUNILVR.NS,2023-10-27
ICICIBANK.NS,2023-10-27
IDFCFIRSTB.NS,2023-10-27
IEX.NS,2023-10-27
IIFL.NS,2023-10-27
INDIGO.NS,2023-10-27
INDUSTOWER.NS,2023-10-27
INFY.NS,2023-10-27
IRCON.NS,2023-10-27
ITC.NS,2023-10-27
JSWSTEEL.NS,2023-10-27
KOTAKBANK.NS,2023-10-27
LALPATHLAB.NS,2023-10-27
LAURUSLABS.NS,2023-10-27
LUPIN.NS,2023-10-27
M&M.NS,2023-10-27
MANAPPURAM.NS,2023-10-27
MARICO.NS,2023-10-27
MARUTI.NS,2023-10-27
MCX.NS,2023-10-27
MON100.NS,2023-10-27
MPHASIS.NS,2023-10-27
MRF.NS,2023-10-27
MUTHOOTFIN.NS,2023-10-27
NAVINFLUOR.NS,2023-10-27
NESTLEIND.NS,2023-10-27
NIFTYBEES.NS,2023-10-27
OBEROIRLTY.NS,2023-10-27
OIL.NS,2023-10-27
ONGC.NS,2023-10-27
PAGEIND.NS,2023-10-27
PERSISTENT.NS,2023-10-27
PIDILITIND.NS,2023-10-27
PIIND.NS,2023-10-27
POLYCAB.NS,2023-10-27
POONAWALLA.NS,2023-10-27
PRESTIGE.NS,2023-10-27
RAYMOND.NS,2023-10-27
RELIANCE.NS,2023-10-27
RITES.NS,2023-10-27
RVNL.NS,2023-10-27
SAIL.NS,2023-10-27
SBIN.NS,2023-10-27
SHREECEM.NS,2023-10-27
SIEMENS.NS,2023-10-27
SRF.NS,2023-10-27
SUNPHARMA.NS,2023-10-27
SUZLON.NS,2023-10-27
TATACHEM.NS,2023-10-27
TATACOMM.NS,2023-10-27
TATAELXSI.NS,2023-10-27
TATASTEEL.NS,2023-10-27
TCS.NS,2023-10-27
TECHM.NS,2023-10-27
TITAN.NS,2023-10-27
TRIDENT.NS,2023-10-27
TVSMOTOR.NS,2023-10-27
VOLTAS.NS,2023-10-27
WIPRO.NS,2023-10-27
ZENSARTECH.NS,2023-10-27
